slug,name,roaster,rating,review_date,aroma,acid_or_milk,body,flavor,type_with_milk,roast_dark,roast_light,roast_medium,roast_medium_dark,roast_medium_light,roast_very_dark,roast_nan,region_africa_arabia,region_caribbean,region_central_america,region_hawaii,region_asia_pacific,region_south_america,type_espresso,type_organic,type_fair_trade,type_decaffeinated,type_pod_capsule,type_blend,type_estate,location,origin,roast,est_price,agtron,acid,aftertaste,with_milk,normalized_rating,origin_derived,review_year,review_month,popularity_tier
ethiopia-deri-kochoha-2,Ethiopia Deri Kochoha,Flight Coffee Co.,93.0,2019-01-01,9.0,8.0,9.0,9.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Bedford, New Hampshire","West Guji Zone, Oromia Region, southeastern Ethiopia",Medium-Light,$17.00/12 ounces,56/80,8.0,8.0,,8.875,southeastern Ethiopia,2019,January,Highly Popular
espresso-14,Espresso,Doi Chaang Coffee,91.0,2019-01-01,8.0,9.0,8.0,8.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,"Richmond, British Columbia, Canada",Northern Thailand,Medium,CAD $29.99/32 ounces,46/68,,8.0,9.0,8.3125,Northern Thailand,2019,January,Highly Popular
kenya-ruthaka-peaberry,Kenya Ruthaka Peaberry,Temple Coffee and Tea,95.0,2019-01-01,9.0,8.0,9.0,10.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Sacramento, California","Nyeri growing region, south-central Kenya",Medium,$19.00/12 ounces,48/72,8.0,8.0,,9.4375,south-central Kenya,2019,January,Highly Popular
ethiopia-gora-kone-sidamo,Ethiopia Gora Kone Sidamo,Temple Coffee and Tea,93.0,2019-01-01,9.0,8.0,9.0,9.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Sacramento, California","Sidamo (also Sidama) growing region, south-central Ethiopia",Medium-Light,$20.00/12 ounces,55/77,8.0,8.0,,8.875,south-central Ethiopia,2019,January,Highly Popular
specialty-coffee-blend-espresso,Specialty Coffee Blend Espresso,Choosy Gourmet,93.0,2019-01-01,9.0,9.0,8.0,9.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Kaohsiung, Taiwan","Ethiopia, Colombia, Kenya",Medium-Light,NT $250/16 ounces,51/75,,8.0,9.0,8.875,Kenya,2019,January,Highly Popular
honduras-las-flores-parainema,Honduras Las Flores Parainema,Café Grumpy,94.0,2019-01-01,9.0,8.0,9.0,9.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Brooklyn, New York","Santa Bárbara, Honduras",Medium-Light,$22.00/12 ounces,56/80,8.0,8.0,,9.15625,Honduras,2019,January,Highly Popular
kivu-dr-congo,Kivu DR Congo,JBC Coffee Roasters,94.0,2019-01-01,9.0,8.0,9.0,9.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,"Madison, Wisconsin","Kalehe, South Kivu Province, Democratic Republic of the Congo",Medium-Light,$16.90/12 ounces,56/78,8.0,8.0,,9.15625,Democratic Republic of the Congo,2019,January,Highly Popular
santa-luzia-brazil,Santa Luzia Brazil,Coava Coffee Roasters,93.0,2019-01-01,9.0,8.0,9.0,9.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Portland, Oregon","Cerrado Mineiro growing region, Santa Luzia, Brazil",Medium-Light,$15.00/250 grams,54/78,8.0,8.0,,8.875,Brazil,2019,January,Highly Popular
porfirio-castellanos-honduras,Porfirio Castellanos Honduras,Coava Coffee Roasters,93.0,2019-01-01,9.0,8.0,8.0,9.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Portland, Oregon","Santa Bárbara, Honduras",Medium-Light,$15.00/250 grams,56/80,8.0,8.0,,8.875,Honduras,2019,January,Highly Popular
ethiopia-yirgacheffe-awassa,Ethiopia Yirgacheffe Awassa,Paradise Roasters,93.0,2019-01-01,9.0,8.0,8.0,9.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Minneapolis, MInnesota","Yirgacheffe growing region, south-central Ethiopia",Medium-Light,$17.95/12 ounces,56/74,8.0,8.0,,8.875,south-central Ethiopia,2019,January,Highly Popular
panama-ninety-plus-perci-lot-50,Panama Ninety Plus Perci Lot 50,Bird Rock Coffee Roasters,97.0,2019-01-01,10.0,9.0,10.0,10.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"San Diego, California","Chiriqui Province, far western Panama",Medium-Light,$60.00/8 ounces,50/74,9.0,9.0,,10.0,far western Panama,2019,January,Highly Popular
colombia-sidra,Colombia Sidra,Kaffetre,94.0,2018-12-01,9.0,8.0,9.0,9.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"Changhua County, Taiwan","Tolima Department, Colombia",Medium-Light,$15.00/8 ounces,58/80,8.0,8.0,,9.15625,Colombia,2018,December,Highly Popular
colombia-geisha-2,Colombia Geisha,Paradise Roasters,94.0,2018-12-01,9.0,8.0,9.0,9.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"Minneapolis, MInnesota","Huila, Colombia",Medium-Light,$12.95/6 ounces,53/77,8.0,8.0,,9.15625,Colombia,2018,December,Highly Popular
select-reserve-guatemala-el-aceituno-el-bonito-microlot,Select Reserve Guatemala El Aceituno “El Bonito” Microlot,Red Rock Roasters,91.0,2018-12-01,8.0,8.0,8.0,9.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"Albuquerque, New Mexico","Jutiapa Department, Guatemala",Medium-Light,$10.00/8 ounces,50/72,8.0,8.0,,8.3125,Guatemala,2018,December,Highly Popular
foothills-series-hambela-ethiopia,Foothills Series Hambela Ethiopia,Vienna Coffee Company,91.0,2018-12-01,8.0,8.0,8.0,9.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Mayville, Tennessee","Alaka District, Guji Zone, Oromia region, southern Ethiopia",Medium-Light,$17.50/12 ounces,56/76,8.0,8.0,,8.3125,southern Ethiopia,2018,December,Highly Popular
ethiopia-gugi,Ethiopia Gugi,Topeca Coffee Roasters,93.0,2018-12-01,9.0,8.0,9.0,9.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Tulsa, Oklahoma","Guji Zone, southern Ethiopia",Medium-Light,$15.99/12 ounces,56/77,8.0,8.0,,8.875,southern Ethiopia,2018,December,Highly Popular
kenya-murunga-new-gatanga-fcs-mukurwe-factory-ab,Kenya Murunga New Gatanga FCS Mukurwe Factory AB,Small Eyes Cafe,94.0,2018-12-01,9.0,8.0,9.0,9.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Yilan, Taiwan","Nyeri growing region, south-central Kenya",Medium-Light,$16.00/8 ounces,54/76,8.0,8.0,,9.15625,south-central Kenya,2018,December,Highly Popular
brazil-recreio-selectivo,Brazil Recreio Selectivo,Topeca Coffee Roasters,92.0,2018-12-01,9.0,8.0,8.0,9.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"Tulsa, Oklahoma","São Sebastião de Grama, Brazil",Medium-Light,$13.99/12 ounces,58/80,8.0,8.0,,8.59375,Brazil,2018,December,Highly Popular
